"时间（周）","话题热度占比（%）","95%置信区间上界（%）","95%置信区间下界（%）","话题热度占比预测（%）","置信度为95%的预测区间下界（%）","置信度为95%的预测区间上界（%）"
"string","number","number","number","number","number","number"
"201301","0.798851721511902","1.57795006972653","0.0197533732972759","NaN","NaN","NaN"
"201302","0.752476092047397","1.53157444026202","-0.0266222561672295","NaN","NaN","NaN"
"201303","0.868056715786289","1.64715506400092","0.0889583675716628","NaN","NaN","NaN"
"201304","0.972303775399445","1.75140212361407","0.193205427184819","NaN","NaN","NaN"
"201305","0.834927568741","1.61402591695563","0.0558292205263737","NaN","NaN","NaN"
"201306","0.777916850094859","1.55701519830949","-0.00118149811976723","NaN","NaN","NaN"
"201308","1.00518939881332","1.78428774702794","0.226091050598692","NaN","NaN","NaN"
"201309","0.827008698996427","1.60610704721105","0.0479103507818004","NaN","NaN","NaN"
"201310","0.898426318067305","1.67752466628193","0.119327969852679","NaN","NaN","NaN"
"201311","1.1877940645783","1.96689241279292","0.408695716363669","NaN","NaN","NaN"
"201312","1.22276136983692","2.00185971805154","0.443663021622292","NaN","NaN","NaN"
"201313","0.849704960235169","1.6288033084498","0.0706066120205422","NaN","NaN","NaN"
"201314","0.873867074175095","1.65296542238972","0.0947687259604684","NaN","NaN","NaN"
"201315","1.00826327226855","1.78736162048318","0.229164924053923","NaN","NaN","NaN"
"201316","0.683047231595742","1.46214557981037","-0.0960511166188845","NaN","NaN","NaN"
"201317","0.700907073406857","1.48000542162148","-0.07819127480777","NaN","NaN","NaN"
"201318","0.855540772698686","1.63463912091331","0.0764424244840597","NaN","NaN","NaN"
"201319","0.589694407513604","1.36879275572823","-0.189403940701022","NaN","NaN","NaN"
"201320","0.528378821924007","1.30747717013863","-0.250719526290619","NaN","NaN","NaN"
"201321","0.881204733419909","1.66030308163453","0.102106385205282","NaN","NaN","NaN"
"201322","0.830251353046718","1.60934970126134","0.0511530048320913","NaN","NaN","NaN"
"201323","0.768388070152111","1.54748641836674","-0.0107102780625152","NaN","NaN","NaN"
"201324","0.770172893933254","1.54927124214788","-0.00892545428137241","NaN","NaN","NaN"
"201325","0.971978940540904","1.75107728875553","0.192880592326277","NaN","NaN","NaN"
"201326","0.744271801726285","1.52337014994091","-0.034826546488341","NaN","NaN","NaN"
"201327","1.1012782946481","1.88037664286272","0.32217994643347","NaN","NaN","NaN"
"201328","1.04852776144026","1.82762610965489","0.269429413225632","NaN","NaN","NaN"
"201329","0.951434882111518","1.73053323032614","0.172336533896891","NaN","NaN","NaN"
"201330","1.06401850686484","1.84311685507947","0.284920158650213","NaN","NaN","NaN"
"201331","1.03601125525032","1.81510960346495","0.256912907035693","NaN","NaN","NaN"
"201332","1.51398083647777","2.2930791846924","0.734882488263145","NaN","NaN","NaN"
